Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
s-vs-d_0.06_B0.mtx,s-vs-d_0.06_A1.mtx,30467,211453,340282366920938463463374607431768211455,1,91345,74098,340282366920938463463374607431768211455
s-vs-d_0.06_B0.mtx,s-vs-d_0.06_B1.mtx,29220,207163,340282366920938463463374607431768211455,1,68797,71766,340282366920938463463374607431768211455
s-vs-d_0.06_B1.mtx,s-vs-d_0.06_A0.mtx,30097,212188,340282366920938463463374607431768211455,1,70479,72026,340282366920938463463374607431768211455
s-vs-d_0.06_B1.mtx,s-vs-d_0.06_A1.mtx,29066,207277,340282366920938463463374607431768211455,1,68250,70332,340282366920938463463374607431768211455
s-vs-d_0.06_B1.mtx,s-vs-d_0.06_B0.mtx,31498,201947,340282366920938463463374607431768211455,1,69767,70427,340282366920938463463374607431768211455
s-vs-d_0.075_A0.mtx,s-vs-d_0.075_A1.mtx,30068,258222,340282366920938463463374607431768211455,1,110692,85213,340282366920938463463374607431768211455
s-vs-d_0.075_A0.mtx,s-vs-d_0.075_B0.mtx,29322,257518,340282366920938463463374607431768211455,1,71525,86288,340282366920938463463374607431768211455
s-vs-d_0.075_A0.mtx,s-vs-d_0.075_B1.mtx,29259,253816,340282366920938463463374607431768211455,1,68792,86069,340282366920938463463374607431768211455
s-vs-d_0.075_A1.mtx,s-vs-d_0.075_A0.mtx,30530,275974,340282366920938463463374607431768211455,1,72973,93920,340282366920938463463374607431768211455
s-vs-d_0.075_A1.mtx,s-vs-d_0.075_B0.mtx,29701,252977,340282366920938463463374607431768211455,1,70766,86995,340282366920938463463374607431768211455
s-vs-d_0.075_A1.mtx,s-vs-d_0.075_B1.mtx,30078,266362,340282366920938463463374607431768211455,1,72541,88126,340282366920938463463374607431768211455
s-vs-d_0.075_B0.mtx,s-vs-d_0.075_A0.mtx,29066,331197,340282366920938463463374607431768211455,1,69573,148815,340282366920938463463374607431768211455
s-vs-d_0.075_B0.mtx,s-vs-d_0.075_A1.mtx,28284,323180,340282366920938463463374607431768211455,1,67261,131306,340282366920938463463374607431768211455
s-vs-d_0.075_B0.mtx,s-vs-d_0.075_B1.mtx,30430,311763,340282366920938463463374607431768211455,1,70673,100047,340282366920938463463374607431768211455
s-vs-d_0.075_B1.mtx,s-vs-d_0.075_A0.mtx,28976,289797,340282366920938463463374607431768211455,1,71803,89765,340282366920938463463374607431768211455
s-vs-d_0.075_B1.mtx,s-vs-d_0.075_A1.mtx,28353,262578,340282366920938463463374607431768211455,1,80294,88226,340282366920938463463374607431768211455
s-vs-d_0.075_B1.mtx,s-vs-d_0.075_B0.mtx,29199,269142,340282366920938463463374607431768211455,1,74653,89387,340282366920938463463374607431768211455
s-vs-d_0.07_A0.mtx,s-vs-d_0.07_A1.mtx,28526,255129,340282366920938463463374607431768211455,1,68841,83848,340282366920938463463374607431768211455
s-vs-d_0.07_A0.mtx,s-vs-d_0.07_B0.mtx,30676,245402,340282366920938463463374607431768211455,1,80176,81947,340282366920938463463374607431768211455
s-vs-d_0.07_A0.mtx,s-vs-d_0.07_B1.mtx,30332,245492,340282366920938463463374607431768211455,1,67592,82139,340282366920938463463374607431768211455
s-vs-d_0.07_A1.mtx,s-vs-d_0.07_A0.mtx,28867,264255,340282366920938463463374607431768211455,1,78549,93988,340282366920938463463374607431768211455
s-vs-d_0.07_A1.mtx,s-vs-d_0.07_B0.mtx,29001,254712,340282366920938463463374607431768211455,1,72415,85362,340282366920938463463374607431768211455
s-vs-d_0.07_A1.mtx,s-vs-d_0.07_B1.mtx,29478,253703,340282366920938463463374607431768211455,1,70529,87650,340282366920938463463374607431768211455
